id	word	other-1	other-2	other-3	pos	morphology	number	code	definitions
3803	anticu	anticu	anticui	anticuissi	ADJ	1 1 X		X X X A O	old, ancient; aged; time-honored; primeval; simple, classic, venerable; senior;
3804	antidactyl	antidactyl			ADJ	1 1 POS		D P X F S	reversed dactyl (short-short-long) (w/pes);
3805	antide	antidi	antidiv	antidit	V	6 1 X		X X X C O	go before, go ahead, precede; surpass; anticipate; prevent; (anteeo drop e);
3806	antidea				ADV	POS		B X X B X	before, before this; formerly, previously, in the past;
3807	antidepressiv	antidepressiv			N	2 2 N T		H B X E K	antidepressant;
3808	antidhac				ADV	POS		B X X D X	before this time, up til now; before now/then; previously, earlier; in the past;
3809	antidor	antidor			N	2 8 N T		F E H F E	blessed bread distributed after the liturgy in the Greek rite
3810	antidot	antidot			N	2 1 F T		X B X C O	antidote, remedy;
3811	antidot	antidot			N	2 2 N T		X B X C O	antidote, remedy;
3812	antidot	antidot			N	2 6 F T		X B X C O	antidote, remedy;
3813	antigelid	antigelid			N	2 2 N T		H X X E K	antifreeze;
3814	antigerio				ADV	POS		X X X E O	greatly, very; vigorously, strongly, energetically;
3815	antigrad	antigrad			N	4 1 M T		X X X I O	front steps;
3816	antihistaminic	antihistaminic			N	2 2 N T		H B X E K	anti-histamine;
3817	antihypertensiv	antihypertensiv			N	2 2 N T		H B X E K	anti-hypertensive;
3818	antiinfectios	antiinfectios			ADJ	1 1 POS		G B X E K	anti-infectious;
3819	antilop	antilop			N	1 6 F T		G X X E K	antelope;
3820	antilucan	antilucan			ADJ	1 1 POS		X X X C O	before daybreak, that precedes the dawn; of the hours before daybreak;
3821	antimensi	antimensi			N	2 2 N T		F E X F E	consecrated cloth used for an altar;
3822	antimetabol	antimetabol			N	1 6 F T		X G X F S	reciprocal interchange;
3823	antineuralgic	antineuralgic			N	2 2 N T		G B X E K	neuralgic;
3824	antinomi	antinomi			N	1 1 F T		X L X F O	contradiction between two laws;
3825	Antioche	Antioche			N	1 1 F L		X X Q C O	Antioch; (city in Roman Syria/modern Turkey);
3826	Antiochen	Antiochen			N	2 1 M G		X X Q F S	Antiochian, person from Antioch; high official from Antioch (2 Maccabee 6:1);
3827	Antiochen	Antiochen			ADJ	1 1 POS		X X Q F S	Antiochian, of/from/pertaining to Antioch (city) or King Antiochus;
3828	Antiochenesis	Antiochenes			N	3 3 M P		X X Q E O	Antiochian, person from Antioch; high official from Antioch (2 Maccabee 6:1);
3829	Antiochens	Antiochens			ADJ	3 2 POS		X X Q E O	Antiochian, of/from/pertaining to Antioch (city) or King Antiochus;
3830	Antiochensis	Antiochens			N	3 3 M P		X X Q E O	Antiochian, person from Antioch; high official from Antioch (2 Maccabee 6:1);
3831	Antiochi	Antiochi			N	1 1 F L		X X Q C O	Antioch; (city in Roman Syria/modern Turkey);
3832	Antiochin	Antiochin			ADJ	1 1 POS		X X Q F S	of/from/pertaining to King or philosopher Antiochus;
3833	antioxydativ	antioxydativ			ADJ	1 1 POS		G S X E K	anti-oxidant;
3834	antipagment	antipagment			N	2 2 N T		X T X F S	facing of a door/window frame; anything used to garnish house exterior (L+S);
3835	antipascha	antipaschat			N	3 2 N T		F E H F E	Low Sunday in the Greek rite;
3836	antipast	antipast			N	2 1 M T		D P X F S	antipast, foot in verse short-long-long-short; verse consisting of antipasts;
3837	antipathes	antipath			N	3 2 N T		X X X F S	charm (for arousing mutual love?) (against pain L+S);
3838	antipathes	antipath			N	3 3 F T		X X X F O	precious stone supposed to act as a charm against witchcraft (black coral L+S);
3839	antipathi	antipathi			N	1 1 F T		X X X N O	antipathy, aversion; counteraction;
3840	antipendi	antipendi			N	2 2 N T		F E X F E	frontal, a hanging in front of the altar;
3841	antiphern	antiphern			N	2 2 N T		D L X F S	return-present (pl.) which the bridegroom brought to the bride (Cod. Just.);
3842	antiphon	antiphon			N	1 1 F T		F D H F B	antiphon, response; (verse/sentence sung by one choir in response to another);
3843	antiphon	antiphon			N	2 2 N T		F D H F B	antiphon, response (pl.); (verse/sentence by one choir in response to another);
3844	antiphon	antiphon			ADJ	1 1 POS		F X X F E	antiphonal; (of verse sung in response by choir);
3845	antiphonal	antiphonal			ADJ	3 2 POS		F E X F E	antiphonal; (of verse sung in response by choir);
3846	antiphonari	antiphonari			N	2 2 N T		F E X F E	book of antiphons; the Gradual;
3847	antiphonari	antiphonari			ADJ	1 1 POS		F X X F E	antiphonal; (of verse sung in response by choir);
3848	antiphonatim				ADV	POS		F E X F E	antiphonally; (of verse sung in response by choir);
3849	antiphone				ADV	POS		F D X E E	antiphonally; (of verse sung in response by choir);
3850	antiphrasis	antiphras			N	3 3 F T		D G X F S	use of a word in a sense opposite to its proper meaning;
3851	antipodis	antipod			N	3 3 M P		X X X D O	people (pl.) who live on the opposite side of the earth; (keeping late hours);
3852	antiptosis	antiptos			N	3 3 F T		D G X F S	putting of one case for another; (grammar);
3853	antiqu	antiqu			N	2 1 M P		X X X C O	men (pl.) of old, ancients, early authorities/writers; ancestors;
3854	antiqu	antiqu			N	2 2 N T		D X X E S	antiquity; things of olden times; old custom/habit;
3855	antiqu	antiqu	antiquav	antiquat	V	1 1 TRANS		X X X C O	reject (bill); vote for the rejection;
3856	antiqu	antiqu	antiqui	antiquissi	ADJ	1 1 X		X X X A O	old/ancient/aged; time-honored; simple/classic; venerable; archaic/outdated;
3857	antiquari	antiquari			N	2 1 M T		G X X E K	antiquarian;
3858	antiquari	antiquari			N	2 4 M P		X X X E O	antiquarian, student of the past;
3859	antiquari	antiquari			ADJ	1 1 POS		D X X E S	reading/copying ancient manuscripts (w/ars);
3860	antiquat	antiquat	antiquati	antiquatissi	ADJ	1 1 X		F X X E E	old/ancient/aged; time-honored; simple/classic; venerable; archaic/outdated;
3861	antiquatio	antiquation			N	3 1 F T		D L X F S	abrogating, annulling;
3862	antique	antiquius	antiquissime		ADV	X		X X X D O	in the old way, in an old fashioned manner;
3863	antiquit	antiquit	antiquiti	antiquitissi	ADJ	1 1 X		F X X E E	old/ancient/aged; time-honored; simple/classic; venerable; archaic/outdated;
3864	antiquitas	antiquitat			N	3 1 F T		X X X B O	antiquity, the good old days; the ancients; virtues of olden times; being old;
3865	antiquitus				ADV	POS		X X X C O	formerly, in former/ancient/olden times, from antiquity; long ago/before;
3866	antirabic	antirabic			ADJ	1 1 POS		H B X E K	anti-rabies;
3867	antirrhin	antirrhin			N	2 8 N T		X A X N O	snapdragon, antirrhinum;
3868	antirrin	antirrin			N	2 2 N T		X A X N O	snapdragon, antirrhinum;
3869	antis	ant			N	3 3 M T		X X X D S	rows (pl.) (vines/plants); ranks (soldiers); files (cavalry);
3870	antisagog	antisagog			N	1 6 F T		D G X F S	figure of speech one thing adduced is opposed to another, counter-assertion;
3871	antisci	antisci			N	2 1 M P		D S X F S	people (pl.) on other side of equator with shadows in the opposite direction;
3872	antisemitism	antisemitism			N	2 1 M T		H X X E E	anti-Semitism;
3873	antiseptic	antiseptic			N	2 2 N T		G X X E K	disinfectant;
3874	antiseptic	antiseptic			ADJ	1 1 POS		H B X E K	antiseptic;
3875	antisophist	antisophist			N	1 1 M P		X G X F S	one who seeks to refute another, opponent in argument; counter-sophist;
3876	antisophist	antisophist			N	1 7 M P		X G X E O	one who seeks to refute another, opponent in argument; counter-sophist;
3877	antispasmodic	antispasmodic			N	2 2 N T		H B X E K	antispasmodic;
3878	antispod	antispod			N	2 8 N T		X A X N O	vegetable/wood ash (as substitute for mineral ash);
3879	antist	antist			N	1 1 F P		F E X E E	mother superior, head of convent; superioress;
3880	antist	antist	antiset	zzz	V	1 1 X		X X X C O	stand before; surpass, excel, be superior to;
3881	antist	antist	antistet	antistat	V	1 1 DAT		X X X C Q	surpass, excel, be superior to; stand before;
3882	antistat	antistat			N	4 1 M T		D X X F S	superiority in rank, rank;
3883	antistes	antistit			N	3 1 M P		E E X C B	bishop, abbot, prelate; master; occasionally applied to those of inferior rank;
3884	antistes	antistit			N	3 1 C P		X E X B O	(high) priest/priestess; mouthpiece of god; master/authority (w/GEN); protector;
3885	antistigma	antistigmat			N	3 2 N T		D G X F S	"character proposed for ""ps""; critical mark before a verse to be transposed;"
3886	antistit	antistit			N	1 1 F P		X E X C O	(high) priestess (of a temple/deity, w/GEN);
3887	antistiti	antistiti			N	2 2 N T		D E X F S	office of antistes (high priest);
3888	antistitor	antistitor			N	3 1 M P		X X X F O	supervisor;
3889	antistoech	antistoech			N	2 2 N T		X G X F O	substitution of one letter for another;
3890	antistroph	antistroph			N	1 6 F T		X D X F S	antistrophe, answers to the strophe in Greek/Roman tragedy;
3891	antistroph	antistroph			N	1 6 F T		X G X F S	|rhetorical figure when several parts of a period end with the same word;
3892	antithe	antithe			N	2 1 M P		D E X F S	one who pretends to be God; the devil;
3893	antithesis	antithes			N	3 3 F T		D G X F S	substitution of one letter for another;
3894	antithet	antithet			N	2 8 N T		X G X E O	antithesis, opposition;
3895	antizeugmen	antizeugmen			N	2 8 N T		D G X F S	grammatical figure by which several clauses are referred to the same verb;
3896	antli	antli			N	1 1 F T		X T X E O	pump, mechanism for raising water, foot pump; (prison activity) treadmill;
3897	anto	anto	antoav	antoat	V	1 1 TRANS		D X X F S	requite;
3898	antoecumen	antoecumen			N	1 6 F T		X S X F O	opposite quarter of the earth, southern half of hemisphere;
3899	antomasiv	antomasiv			ADJ	1 1 POS		D G X F S	pertaining to forming an antonomasia/epithet;
3900	Antoni	Antoni			N	2 5 M N		X X X C O	Antony/Anthony; (Roman gens name); (M. Antonius -> Mark Antony, triumvir);
3901	Antoni	Antoni			ADJ	1 1 POS		X X X C O	Antony/Anthony; (Roman gens name); (M. Antonius -> Mark Antony, triumvir);
3902	antonomasi	antonomasi			N	1 1 F T		X G X E O	use of an epithet/appellative as substitute for proper name, antonomasia;
3903	antr	antr			N	2 2 N T		X X X B O	cave; cavern; hollow place with overarching foliage; cavity, hollow; tomb;
3904	antru	antru	antruav	antruat	V	1 1 INTRANS		X E X F S	dance around (at Salian religious festivals);
3905	Antuuerpi	Antuuerpi			N	1 1 F L		G X N E T	Antwerp;
3906	Antverpi	Antverpi			N	1 1 F L		F X N F E	Antwerp;
3907	anucell	anucell			N	1 1 F P		X X X F O	(little) old woman;
3908	anul	anul			N	2 1 M T		X X X B O	ring, signet ring; circlet; ringlet/curl of hair; link of mail; fetters, irons;
3909	anul	anul			N	2 1 M T		X X X F S	|posterior, fundament; anus;
3910	anular	anular			ADJ	3 2 POS		X X X N S	relating to (signet) ring;
3911	anulare	anular			N	3 4 N T		X X X N O	kind of white paint (prepared with chalk mixed with glass beads L+S);
3912	anulari	anulari			N	2 4 M P		X X X D O	ring-maker;
3913	anulari	anulari			N	2 4 N T		X W X I O	payment to veterans on discharge;
3914	anulari	anulari			ADJ	1 1 POS		X X X E O	connected with (signet) ring-makers; used in making rings; of rings;
3915	anulat	anulat			ADJ	1 1 POS		X X X E O	provided with a ring, ringed; fitted with a fetter, fettered;
3916	anxi	anxi			ADJ	1 1 POS		X X X B O	anxious, uneasy, disturbed; concerned; careful; prepared with care; troublesome;
3917	anxi	anxi	anxiav	anxiat	V	1 1 TRANS		D X X E S	make uneasy/anxious/nervous; worry;
3918	anxi	anxi	zzz	anxiat	V	1 1 DEP		F X X E E	be in anguish; be troubled; worry;
3919	anxie				ADV	POS		X X X C O	anxiously, meticulously, over-carefully; with distress/chagrin; troublesomely;
3920	anxietas	anxietat			N	3 1 F T		X X X C O	anxiety, worry, solicitude; carefulness, extreme care;
3921	anxietudo	anxietudin			N	3 1 F T		D X X E S	worry, anxiety, anguish, trouble; mental distress;
3922	anxifer	anxifer			ADJ	1 2 POS		X X X E O	bringing/causing mental anguish/anxiety, harassing, worrying;
3923	anxios	anxios			ADJ	1 1 POS		D X X F S	anxious, full of anxiety, uneasy; causing anxiety/pain/uneasiness;
3924	anxitudo	anxitudin			N	3 1 F T		X X X E O	worry, anxiety, anguish, trouble; mental distress;
3925	Ap				N	9 8 M N		X X X C O	Appius (Roman praenomen); (esp, gens Claudia); Ap.Cl. Caecus built Appian Way;
3926	ap	ap	zzz	apt	V	3 1 TRANS		X X X E S	fasten, attach, join, connect, bind;
3927	apage				INTERJ			X X X C O	be off!; nonsense!, get away with you!;
3928	apal	apal			ADJ	1 1 POS		X X X E O	soft-boiled (egg). soft, tender;
3929	apalocrocodes	apalocrod			N	3 2 N T		X B X I O	kind of eye salve;
3930	aparcti	aparcti			N	1 8 M T		X X X E O	north wind;
3931	aparin	aparin			N	1 6 F T		X A X N O	plant, cleavers (Galium aparine);
3932	apathi	apathi			N	1 1 F T		X S X F O	apathy; freedom from emotion/passion (as a Stoic value);
3933	apathic	apathic			ADJ	1 1 POS		G X X E K	apathetic;
3934	apeliot	apeliot			N	1 7 F T		X X X D O	east wind;
3935	apell	apell	apepul	apuls	V	3 1 X		E X X E W	draw/push/drive aside/away (from);
3936	aper	apr			N	2 3 C T		X A X C O	boar, wild boar (as animal, food, or used as a Legion standard/symbol); a fish;
3937	aperantologi	aperantologi			N	1 1 F T		X X X F O	interminable discussion;
3938	apercul	apercul			N	2 2 N T		G X X E K	can-opener;
3939	aperi	aper	aperu	apert	V	3 4 TRANS		X X X A O	uncover, open, disclose; explain, recount; reveal; found; excavate; spread out;
3940	aperibil	aperibil			ADJ	3 2 POS		D X X E S	opening;
3941	aperitio	aperition			N	3 1 F T		F X X E E	opening; aperture;
3942	aperito	aperiton			N	3 1 F T		E X X E E	opening; revelation/disclosure;
3943	apern	apern	zzz	apernat	V	1 1 DEP		F X X E E	scorn;
3944	apert	apert			N	2 2 N T		X X X B O	area free from obstacles, open/exposed space, the open (air); known facts (pl.);
3945	apert	apert	apertav	apertat	V	1 1 TRANS		X X X F O	bare, expose, lay bare;
3946	apert	apert	aperti	apertissi	ADJ	1 1 X		X X X A O	open/public/free; uncovered/exposed/opened; frank/clear/manifest; cloudless;
3947	aperte	apertius	apertissime		ADV	X		X X X B O	openly, publicly; manifestly; w/o disguise/reserve; plainly, clearly, frankly;
3948	apertibil	apertibil			ADJ	3 2 POS		D X X E S	opening;
3949	apertio	apertion			N	3 1 F T		X X X E O	opening; act of making (building, etc.) accessible; grand/solemn opening;
3950	apertor	apertor			N	3 1 M P		D X X E S	he who opens/begins, opener;
3951	apertur	apertur			N	1 1 F T		X X X D S	act of opening; opening (will); an opening, aperture, hole;
3952	apes	ap			N	3 3 F T		D A X C S	bee; swarm regarded as a portent;
3953	apex	apic			N	3 1 M T		X X X B O	point, top, summit; cap, crown; conical priest cap; highest honor;
3954	apex	apic			N	3 1 M T		X G X E S	|long mark over vowel; outlines of letters, letter; least particle, speck;
3955	apexabo	apexabon			N	3 1 M T		X X X F O	kind of sausage;
3956	aphac	aphac			N	1 1 F T		X A X N O	kind of vetch/tare; pulse, field/chick peas (Lathyrus alphca) (L+S); dandelion;
3957	aphaerema	aphaeremat			N	3 2 N T		X A X N O	spelt bran, grits, sharps;
3958	aphaeresis	aphaeres			N	3 3 F T		D G X F S	dropping a letter or syllable at the beginning of a word;
3959	apharc	apharc			N	1 6 F T		X A X N O	evergreen tree (Arbutus hybrida);
3960	apheliot	apheliot			N	1 7 F T		X X X D O	east wind;
3961	aphorism	aphorism			N	1 1 F T		F X X F M	aphorism; pithy sentence;
3962	aphorism	aphorism			N	2 1 M T		F G X F M	aphorism;
3963	aphract	aphract			N	2 1 F T		X X X E O	undecked boat; open ship;
3964	aphract	aphract			N	2 2 N T		X X X E O	undecked boat; open ship;
3965	aphrod	aphrod			ADJ	2 3 POS		X X X N S	foaming, like foam; [~ mecon => wild poppy];
3966	aphrodis	aphrodis			N	1 8 F T		D A X F S	sweet flag/iris?; calamus?;
3967	aphrodisiac	aphrodisiac			N	1 1 F T		X X X N O	unknown precious stone (reddish-white L+S);
3968	aphrodisiac	aphrodisiac			N	1 6 F T		X X X N S	unknown precious stone (reddish-white L+S);
3969	aphronitr	aphronitr			N	2 2 N T		X X X D O	sodium carbonate, washing soda; spuma nitri; efflorescence of saltpeter (L+S);
3970	aphth	aphth			N	1 1 F T		X B X F O	parasitic stomatitis, thrush, aphthous ulcers (pl.) (fungal disease);
3971	aphy	aphy			N	1 1 F T		X A X N S	small fish (regarded by Pliny as a separate species); anchovy? (L+S);
3972	aphy	aphy			N	1 6 F T		X A X N O	small fish (regarded by Pliny as a separate species); anchovy? (L+S);
3973	api	ap	zzz	apt	V	3 1 TRANS		X X X E O	fasten, attach, join, connect, bind;
3974	api	api			N	2 2 N T		G X X E K	celery;
3975	api	api			N	2 4 N T		X A X C C	wild celery; parsley; (garlands); (GEN apii OLD); like plants; (liked by bees);
3976	api	api			N	2 6 F T		X A X N O	kind of spurge;
3977	apiac	apiac			ADJ	1 1 POS		X A X F O	of parsley; similar to parsley (L+S);
3978	apiaci	apiaci			ADJ	1 1 POS		X A X F O	of parsley or celery;
3979	apian	apian			N	1 1 F T		D A X E S	chamomile;
3980	apian	apian			ADJ	1 1 POS		X A X N O	of/belonging to bees; muscatel (grape loved by the bees);
3981	apiari	apiari			N	2 1 M P		X A X N O	beekeeper;
3982	apiari	apiari			N	2 2 N T		X A X E O	apiary, bee-house, beehive;
3983	apiari	apiari			ADJ	1 1 POS		X A X F S	relating to bees;
3984	apiastell	apiastell			N	2 2 N T		D A X E S	plant, batrachior or herba scelerata; bryonia;
3985	apiastr	apiastr			N	1 1 F T		D A X F S	bee-eater, bird that lies in wait for bees, (Merops apiaster);
3986	apiastr	apiastr			N	2 2 N T		X A X D O	one or more varieties of balm (plant of which bees like); wild parsley (L+S);
3987	apiat	apiat			ADJ	1 1 POS		X A X N O	resembling parsley (of tables with a certain grain pattern); boiled w/parsley;
3988	apic	apic			N	1 1 F T		X A X E O	sheep with no wool on its belly;
3989	apicat	apicat			ADJ	1 1 POS		X E X F O	wearing he ceremonial pointed cap of a priest;
3990	apici	apici			ADJ	1 1 POS		X A X F O	"name of a variety of grape and wine; (""sought/liked by bees"");"
3991	apicul	apicul			N	1 1 F T		X A X E O	little bee;
3992	apin	apin			N	1 1 F T		X X X F O	trifles (pl.), nonsense;
3993	apirocal	apirocal			N	2 1 M P		X X X F O	one lacking in taste;
3994	apis	ap			N	3 3 F T		X A X C O	bee; swarm regarded as a portent; Apis, sacred bull worshiped in Egypt;
3995	apisc	apisc	zzz	apt	V	3 1 DEP		X X X C O	reach, obtain, win (lawsuit); grasp; catch (person); attack (infection); pursue;
3996	aplan	aplan			ADJ	2 3 POS		D X X F S	standing firm, not moving about;
3997	aplesti	aplesti			N	1 1 F T		E X X E P	surfeit, excess; excessive amount/supply/indulgence/consumption/gluttony;
3998	aplud	aplud			N	1 1 F T		X A X D O	chaff; bran (L+S); kind of drink?;
3999	aplustr	aplustr			N	2 2 N T		X W X C O	ornamented stern-post of a ship; (also plural for a single) ship (pl.);
4000	aplustre	aplustr			N	3 4 N T		X W X C O	ornamented stern-post of a ship; (also plural for a single) ship (pl.);
4001	aplysi	aplysi			N	1 1 F T		X A X N O	sponge of inferior quality;
4002	apocalypsis	apocalyps			N	3 3 F T		D E X E S	revelation, disclosing; (Book of Revelations, Apocalypse of St John);
4003	apocalypsis	apocalyps			N	3 9 F T		E E X E W	revelation, disclosing; (Book of Revelations, Apocalypse of St John);
4004	apocalyptic	apocalyptic			ADJ	1 1 POS		E X X E E	pertaining to the Apocalypse/Book of Revelations;
4005	apocarteresis	apocarteres			N	3 3 F T		X X X F S	voluntary starvation; hunger strike;
4006	apocat	apocat			ADJ	1 1 POS		X L X I O	in respect of which a receipt for payment has been given;
4007	apocatastasis	apocatastas			N	3 3 F T		D X X E S	restoration, re-establishment, return to former position; (stars to last year);
4008	apocatastatic	apocatastatic			ADJ	1 1 POS		D S X F S	restoring, returning; (stars/planets to position of previous year);
4009	apoch	apoch			N	1 1 F T		X L X E O	receipt for payment;
4010	apochat	apochat			ADJ	1 1 POS		X L X I O	in respect of which a receipt for payment has been given;
4011	apocolocyntosis	apocolocyntos			N	3 3 F T		X X X F O	"transformation into a gourd or pumpkin; ""Metamorphosis of a Pumpkin"" by Seneca;"
4012	apocop	apocop			N	1 6 F T		X G X C S	dropping of a letter/syllable at the end of a word;
4013	apocrisiari	apocrisiari			N	2 1 M P		D E X E S	delegate/deputy who performs a duty in place of another, envoy, nuncio;
4014	apocryph	apocryph			N	2 2 N T		D E X C E	apocryphal/non canonical writings (pl.) (not included in the Bible);
4015	apocryph	apocryph			ADJ	1 1 POS		D E X C S	spurious, not genuine/canonical, apocryphal;
4016	apocul	apocul	apoculav	apoculat	V	1 1 TRANS		X X X F O	go away, remove oneself, leave;
4017	apocyn	apocyn			N	2 8 N T		X A X N O	dog's bane, a plant poisonous to dogs; magic bone in left side of venomous frog;
4018	apodictic	apodictic			ADJ	1 1 POS		X G X F O	demonstrative, convincing; proving clearly (L+S);
4019	apodixis	apodix			N	3 9 F T		X L X E O	proof, demonstration; conclusive proof (L+S);
4020	apodosis	apodos			N	3 3 F T		D G X F S	subsequent proposition; clause referring to one preceding;
4021	apodyteri	apodyteri			N	2 4 N T		X X X D O	undressing-room in a bathing-house;
4022	apoge	apoge			ADJ	1 1 POS		X X X N O	blowing/coming from the land, land (breeze);
4023	apograph	apograph			N	2 2 N T		F X X E E	copy; transcript (L+S);
4024	apograph	apograph			N	2 8 N T		X X X N O	copy; transcript (L+S);
4025	apolactiz	apolactiz	apolactizav	apolactizat	V	1 1 TRANS		X X X F O	kick away, spurn;
4026	apolect	apolect			ADJ	1 1 POS		X X X N O	choice, selected;
4027	apolect	apolect			ADJ	1 1 POS		X A X N S	|kind of tunny fish not a year old; pieces for salting cut from that tunny;
4028	apolitic	apolitic			ADJ	1 1 POS		G X X E K	apolitical;
4029	Apollinar	Apollinar			ADJ	3 2 POS		X E X E S	sacred to Apollo; of Apollo (games);
4030	apollinari	apollinari			N	1 1 F T		D A X F S	plant (commonly called strychnos);
4031	apollinaris	apollinar			N	3 3 F T		X A X N S	herb (commonly called hyoscyamus); species of solanum;
4032	Apollo	Apollin			N	3 1 M N		X E X B O	Apollo; (Roman god of prophecy, music, poetry, archery, medicine);
4033	apolog	apolog			N	2 1 M T		X X X D O	narrative, story; fable, tale;
4034	apolog	apolog	apologav	apologat	V	1 1 TRANS		X X X F O	spurn, reject;
4035	apologatio	apologation			N	3 1 F T		X X X F O	fable or apologue; narration in the manner of Aesop;
4036	apologetic	apologetic			ADJ	1 1 POS		F X X E E	apologetic;
4037	apologi	apologi			N	1 1 F T		D X X E S	apology; defense;
4038	apopempe	apopempe			N	2 1 M P		F E X F M	averter of evil; aversion/carrying away (of evil);
4039	apophasis	apophas			N	3 3 F T		D G X F S	denial, rhetorical device where one answers himself;
4040	apophegmatism	apophegmatism			N	2 6 M T		D B X F S	remedy for expelling phlegm, expectorant;
4041	apophoret	apophoret			N	2 2 N T		X X X D O	presents (pl.) for guests to take with them;
4042	apophoret	apophoret			ADJ	1 1 POS		X X X F O	designed (for guests) to take with them (of presents);
4043	apophysis	apophys			N	3 9 F T		X T X F O	curving outward (archit.), curve of column at top/bottom, apophyge;
4044	apoplectic	apoplectic			ADJ	1 1 POS		D B X E S	apoplectic, stroke;
4045	apoplexi	apoplexi			N	1 1 F T		D B X E S	apoplexy, stroke;
4046	apoplexis	apoplex			N	3 3 F T		D B X E S	apoplexy, stroke;
4047	apopompae	apopompae			N	2 1 M P		F E X F M	averter of evil; aversion/carrying away (of evil);
4048	apopompe	apopompe			N	2 1 M P		F E X F M	averter of evil; aversion/carrying away (of evil);
4049	apoproegmen	apoproegmen			N	2 2 N T		X G X F O	things (pl.) that have been rejected;
4050	apoproegmen	apoproegmen			N	2 8 N T		X G X F S	things (pl.) that have been rejected;
4051	apopsis	apops			N	3 3 F T		X T X F O	belvedere? (summer house/gazebo, raised turret/lantern atop house with view);
4052	apori	apori			N	1 1 F T		D X X E S	doubt, perplexity; embarrassment, disorder;
4053	apori	apori	aporiav	aporiat	V	1 1 INTRANS		E X X F W	be uncertain/in doubt, vacillate, waver, doubt, be perplexed/distressed/in need;
4054	apori	apori	zzz	aporiat	V	1 1 DEP		D X X C S	be uncertain/in doubt, vacillate, waver, doubt, be perplexed/distressed/in need;
4055	aporiatio	aporiation			N	3 1 F T		D X X E S	vacillation of mind, uncertainty, doubt;
4056	aposcopeuon	aposcopeuont			N	3 1 M T		X X X N O	looking into the distance;
4057	aposiopesis	aposiopes			N	3 3 F T		X G X F O	breaking off in the middle of speech, aposiosesis;
4058	aposphragisma	aposphragismat			N	3 2 N T		X X X F O	device on a signet ring;
4059	aposplen	aposplen			N	2 6 F T		D A X F S	rosemary;
4060	apostasi	apostasi			N	1 1 F T		D E X E S	apostasy, departure from one's religion, repudiation of one's faith;
4061	apostat	apostat			N	1 1 M P		D E X C S	apostate; bad/wicked man;
4062	apostat	apostat	apostatav	apostatat	V	1 1 INTRANS		D E X F E	fall away (from), apostatize, forsake one's religion;
4063	apostatic	apostatic			ADJ	1 1 POS		D E X E E	apostate, rebel;
4064	apostatrix	apostatric			N	3 1 F P		D E X F E	apostate (female);
4065	apostema	apostemat			N	3 2 N T		X B X E O	abscess; ulcer;
4066	apostol	apostol			N	1 1 F P		D E X F E	apostle (female);
4067	apostol	apostol			N	2 1 M P		D E X B S	apostle; missionary (one sent);
4068	apostol	apostol			N	2 1 M T		D L X C S	notice/statement of the case sent to a higher tribunal on an appeal (Roman law);
4069	apostolat	apostolat			N	4 1 M T		D E X F S	apostlate, office/position of an apostle, apostleship;
4070	apostolic	apostolic			N	2 1 M P		D E X D S	saying of an Apostle; book of Epistles; pupils/friends of the Apostles (pl.);
4071	apostolic	apostolic			ADJ	1 1 POS		D E X C S	apostolic; of/concerning/belonging to an Apostle; title applied to Pope;
4072	apostolicitas	apostolicitat			N	3 1 F T		F E X F E	apostlate, office/position of an apostle, apostleship;
4073	apostraph	apostraph			N	1 1 F T		F D X F E	apostrophe; small mark or note (especially in music);
4074	apostroph	apostroph			N	1 1 F T		E D X E E	small mark/note (esp. in music); apostrophe;
4075	apostroph	apostroph			N	1 6 F T		X G X D S	rhetorical figure when speaker turns away to address others; apostrophy;
4076	apostroph	apostroph			N	2 1 F T		D G X E S	mark of elision, apostrophe;
4077	apostroph	apostroph			N	2 6 F T		D G X E S	mark of elision, apostrophe;
4078	apotelesma	apotelesmat			N	3 2 N T		D X X F S	influence of the stars on human destiny;
4079	apothec	apothec			N	1 1 F T		X X X C O	store-house, store-room, repository; wine-cellar;
4080	apothec	apothec	apothecav	apothecat	V	1 1 TRANS		D X X E S	store, lay up in a storehouse;
4081	apothecari	apothecari			N	2 1 M P		D X X E S	warehouseman, shopkeeper; clerk, druggist;
4082	apotheosis	apotheos			N	3 3 F T		D E X E S	deification, transformation into a god; (by extension) canonization (saint);
4083	apothesis	apothes			N	3 9 F T		X T X F S	curving outward (archit.), curve of column at top/bottom, apophyge;
4084	apothysis	apothys			N	3 9 F T		X T X F S	curving outward (archit.), curve of column at top/bottom, apophyge;
4085	apoxyomen	apoxyomen			N	2 6 M T		X X X F O	statue by Lysippus of an athlete using a strigil to clean himself in the bath;
4086	apozema	apozemat			N	3 2 N T		X S X F S	decoction, boiling away, concentration/extraction by boiling away liquid;
4087	apozim	apozim			N	1 1 F T		F B X F M	decoction; (alt. form of apozema, atis);
4088	apozym	apozym	apozymav	apozymat	V	1 1 TRANS		D A X F S	make ferment;
4089	App				N	9 8 M N		X X X C O	Appius (Roman praenomen); (abb. App.);
4090	appaginecul	appaginecul			N	2 1 M T		X T X F O	kind of decorative attachment (archit.);
4091	appal	appal			ADJ	3 2 POS		X X X F S	greasy, fatty; of/with fat/grease;
4092	appang	appang	appeg	appact	V	3 1 TRANS		D X X F S	fasten to;
4093	appar	appar	apparav	apparat	V	1 1 TRANS		X X X B O	prepare, fit out, make ready, equip, provide; attempt; organize (project);
