id	word	other-1	other-2	other-3	pos	morphology	number	code	definitions
23218	incivil	incivil			ADJ	3 2 POS		X X X E S	impolite; uncivil;
23219	inciviliter				ADV	POS		X X X E S	discourteously;
23220	inclam	inclam	inclamav	inclamat	V	1 1 X		X X X D X	cry out (to), call upon; abuse, revile;
23221	inclamit	inclamit	inclamitav	inclamitat	V	1 1 TRANS		B X X F S	abuse; scold;
23222	inclemens	inclement			ADJ	3 1 POS		X X X D X	harsh;
23223	inclementer				ADV	POS		X X X D X	harshly, severely;
23224	inclementi	inclementi			N	1 1 F T		X X X D X	harshness;
23225	inclin	inclin			ADJ	1 1 POS		E X X F W	leaning; (Douay);
23226	inclin	inclin	inclinav	inclinat	V	1 1 X		X X X B X	bend; lower; incline; decay; grow worse; set (of the sun); deject;
23227	inclinatio	inclination			N	3 1 F T		X X X D X	act of leaning, tendency, inclination;
23228	inclit	inclit	incliti	inclitissi	ADJ	1 1 X		X X X D X	celebrated, renowned, famous, illustrious, glorious;
23229	includ	includ	inclus	inclus	V	3 1 X		X X X B X	shut up/in, imprison, enclose; include;
23230	inclut	inclut	incluti	inclutissi	ADJ	1 1 X		X X X D X	celebrated, renowned, famous, illustrious, glorious;
23231	inclyt	inclyt	inclyti	inclytissi	ADJ	1 1 X		X X X B X	celebrated, renowned, famous, illustrious, glorious;
23232	incogitabil	incogitabil			ADJ	3 2 POS		X X X E S	inconsiderate; inconceivable;
23233	incogitans	incogitant			ADJ	3 1 POS		X X X E C	inconsiderate, thoughtless;
23234	incogitanti	incogitanti			N	1 1 F T		X X X E C	thoughtlessness;
23235	incogitat	incogitat			ADJ	1 1 POS		X X X E C	unstudied (passive); inconsiderate (active);
23236	incognit	incognit			ADJ	1 1 POS		X X X D X	unknown; not known; untried, untested;
23237	incoh	incoh	incohav	incohat	V	1 1 X		B X X A O	begin/start (work); set going, establish; draft/sketch/outline; enter upon;
23238	incohament	incohament			N	2 2 N T		X X X E S	starting place; first principles (pl.); rudiments; elements;
23239	incol	incol			N	1 1 C P		X X X D X	inhabitant; resident, dweller; resident alien; foreigner (Plater);
23240	incol	incol	incolav	incolat	V	1 1 X		E X X E P	live, dwell/reside (in); inhabit; sojourn;
23241	incol	incol	incolu	zzz	V	3 1 X		X X X C O	live, dwell/reside (in); inhabit; sojourn;
23242	incolat	incolat			N	4 1 M T		X X X I O	residence (in a town) without citizenship; status of resident alien; (exile?);
23243	incolat	incolat			ADJ	1 1 POS		E X X F P	unfiltered, unstrained; unpurified;
23244	incolom	incolom			ADJ	3 2 POS		F X X F M	unharmed, uninjured; alive, safe; unimpaired; (= incolumis);
23245	incolum	incolum			ADJ	3 2 POS		X X X B X	unharmed, uninjured; alive, safe; unimpaired;
23246	incolumitas	incolumitat			N	3 1 F T		X X X D X	safety;
23247	incomitat	incomitat			ADJ	1 1 POS		X X X D X	unaccompanied;
23248	incommatio	incommation			N	3 1 F T		F E X E E	imperfect state;
23249	incommendat	incommendat			ADJ	1 1 POS		X X X E C	not entrusted; without protector;
23250	incommensurabil	incommensurabil			ADJ	3 2 POS		E X X E P	immeasurable;
23251	incommod	incommod			N	2 2 N T		X X X B O	disadvantage, inconvenience, setback, harm, detriment; defeat/disaster; ailment;
23252	incommod	incommod	incommodav	incommodat	V	1 1 X		X X X C O	inconvenience, obstruct, hinder; be inconvenient/troublesome, cause difficulty;
23253	incommod	incommod	incommodi	incommodissi	ADJ	1 1 X		X X X B O	inconvenient, troublesome, annoying; disadvantageous; disagreeable; disobliging;
23254	incommode				ADV	POS		X X X D X	disastrously, unfortunately;
23255	incommoditas	incommoditat			N	3 1 F T		X X X C O	disadvantage, inconvenience, importunity; importunity; misfortune;
23256	incommutabil	incommutabil			ADJ	3 2 POS		X X X E O	unchangeable; immutable;
23257	incommutabilitas	incommutabilitat			N	3 1 F T		E X X F P	unchangeableness;
23258	incommutabiliter				ADV	POS		E X X E P	without change;
23259	incomparabil	incomparabil			ADJ	3 2 POS		X X X E S	incomparable; cannot be equaled;
23260	incomparabiliter				ADV	POS		X X X F S	incomparably;
23261	incompatibil	incompatibil			ADJ	3 2 POS		G X X E K	incompatible;
23262	incompatibilitas	incompatibilitat			N	3 1 F T		G X X E K	incompatibility;
23263	incompert	incompert			ADJ	1 1 POS		X X X D X	not known;
23264	incompetens	incompetent	incompetenti	incompetentissi	ADJ	3 1 X		E X X E S	insufficient;
23265	incomposit	incomposit			ADJ	1 1 POS		X X X D X	clumsy, disorganized, not in formation (troops); (good) unaffected, neutral;
23266	incomposite				ADV	POS		X X X D X	in a clumsy/disorganized manner; awkwardly; irregularly;
23267	incomprehensibil	incomprehensibil			ADJ	3 2 POS		D X X D S	incomprehensible, inconceivable; endless; that cannot be overtaken;
23268	incompt	incompt			ADJ	1 1 POS		X X X D X	disheveled; untidy; unpolished;
23269	incomtaminat	incomtaminat			ADJ	1 1 POS		X X X E C	unpolluted;
23270	inconcess	inconcess			ADJ	1 1 POS		X X X D X	forbidden;
23271	inconcili	inconcili	inconciliav	inconciliat	V	1 1 TRANS		X X X E S	win over by trickery; embarrass;
23272	inconcinn	inconcinn			ADJ	1 1 POS		X X X D X	awkward; clumsy;
23273	inconcuss	inconcuss			ADJ	1 1 POS		X X X E C	unshaken, firm;
23274	incondit	incondit			ADJ	1 1 POS		X X X D X	rough, crude; uncivilized; disordered, not disciplined;
23275	inconfus	inconfus			ADJ	1 1 POS		X X X E O	undismayed; not disconcerted; not embarrassed (L+S); unconfused;
23276	inconfusibil	inconfusibil			ADJ	3 2 POS		E X X E S	that cannot be embarrassed/abashed/confused; that cannot be mingled (Souter);
23277	inconfusibliter				ADV	POS		E X X F S	without confusion/embarrassment;
23278	incongru	incongru			ADJ	1 1 POS		D X X E S	inconsistent; incongruous; unsuitable;
23279	incongrue				ADV	POS		D X X F S	unsuitably; inconsistently;
23280	incongruens	incongruent			ADJ	3 1 POS		X X X E C	inconsistent, not in accord, not agreeing;
23281	inconrupt	inconrupt	inconrupti	inconruptissi	ADJ	1 1 X		X X X B O	intact, uncorrupted, unspoiled/untainted; genuine; pure; chaste; imperishable;
23282	inconrupte	inconruptius	inconruptissime		ADV	X		X X X E O	honestly, uprightly, without being influenced by bribes; correctly/faultlessly;
23283	inconruptel	inconruptel			N	1 1 F T		E E X D S	incorruptibility, imperishability;
23284	inconruptibil	inconruptibil			ADJ	3 2 POS		E E X E S	incorruptible, imperishable;
